trial,odour,conc,percent,gb,normalized
12,2-Hydroxyhexanoic Acid (DCM),1,99.37634398,Good,99.3724301
12,2-Hydroxyhexanoic Acid (DCM),10,100.7791076,Good,100.7730844
12,2-Nonanal,0.01,88.47084245,Good,86.96840989
12,2-Nonanal,0.1,132.3401414,Good,124.4371368
12,2-Nonanal,1,110.9985481,Good,109.9087315
12,2-Nonanal,10,101.485951,Good,101.4641938
12,Hexane,0,100,Good,100
12,Methyl Palmitate,0.01,108.9132815,Good,108.1838334
12,Methyl Palmitate,0.1,126.8529712,Good,121.1685788
12,Methyl Palmitate,1,110.6397848,Good,109.6165993
12,Methyl Palmitate,10,98.59474632,Good,98.57471749
12,Methyl Oleate,0.01,115.9239878,Good,113.736577
12,Methyl Oleate,0.1,105.8519877,Good,105.5284628
12,Methyl Oleate,1,63.4949255,Good,42.50709926
12,Methyl Oleate,10,88.50531667,Good,87.01243749
